,params,test_accuracy,test_recall_overall,test_f1_deceased,test_recall_deceased,test_precison
0,"{'n_neighbors': 2, 'p': 1, 'weights': 'distance'}",0.7760789303566822,0.7760789303566822,0.0744130149665672,0.0920210109998764,0.7753872287557877
1,"{'n_neighbors': 2, 'p': 1, 'weights': 'uniform'}",0.7741231816209029,0.7741231816209029,0.0890703806158199,0.1315834878259794,0.7782136999534771
2,"{'n_neighbors': 2, 'p': 2, 'weights': 'distance'}",0.7734268364501771,0.7734268364501771,0.0747850242519469,0.0922434804103324,0.7725027246412075
3,"{'n_neighbors': 2, 'p': 2, 'weights': 'uniform'}",0.7716941340314867,0.7716941340314867,0.0868336609747937,0.1278054628599678,0.7752664426504488
4,"{'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",0.7822508294791396,0.7822508294791396,0.07822554114424,0.0806844642195031,0.7811507541959184
5,"{'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.7799142666619285,0.7799142666619285,0.0789374080781426,0.0891298974168829,0.7805215525066066
6,"{'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",0.7798653028362922,0.7798653028362922,0.0780952467776969,0.0800177975528364,0.7785620443221173
7,"{'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.7770581629194349,0.7770581629194349,0.0774836859493316,0.0873516252626375,0.777435883043752
8,"{'n_neighbors': 4, 'p': 1, 'weights': 'distance'}",0.7877399829890874,0.7877399829890874,0.0799435355999136,0.0662353231986157,0.78223779457779
9,"{'n_neighbors': 4, 'p': 1, 'weights': 'uniform'}",0.7891136326320166,0.7891136326320166,0.0832074191913046,0.0544545791620318,0.7806608938864708
10,"{'n_neighbors': 4, 'p': 2, 'weights': 'distance'}",0.784704353728094,0.784704353728094,0.0808477853474995,0.0662353231986157,0.7789601001564656
11,"{'n_neighbors': 4, 'p': 2, 'weights': 'uniform'}",0.7855475877490891,0.7855475877490891,0.0779630334727,0.0506763070077864,0.7765621240132259
12,"{'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0.7892088377154104,0.7892088377154104,0.0789530456728381,0.064234828822148,0.784366417883476
13,"{'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.7883193649893082,0.7883193649893082,0.079905400121415,0.0522318625633419,0.7815092302102988
14,"{'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",0.7863717755593174,0.7863717755593174,0.0767204225673504,0.0617901371894697,0.781291053012225
15,"{'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.7851368520573355,0.7851368520573355,0.0751418308156307,0.0488987764182424,0.7780660679646872
16,"{'n_neighbors': 6, 'p': 1, 'weights': 'distance'}",0.7909605786499223,0.7909605786499223,0.0770019295282816,0.060901001112347,0.7851640000197035
17,"{'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}",0.790797371077091,0.790797371077091,0.076811174989192,0.0475647015202076,0.7820850933113395
18,"{'n_neighbors': 6, 'p': 2, 'weights': 'distance'}",0.7882296003433168,0.7882296003433168,0.0787497153594137,0.0620123594116919,0.7822624114545662
19,"{'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}",0.7873809296953971,0.7873809296953971,0.0742957994303538,0.0460084043999505,0.7783449318175377
20,"{'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",0.7917929300943459,0.7917929300943459,0.0779205132852791,0.0606787788901248,0.7861113476870281
21,"{'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",0.7904002392349654,0.7904002392349654,0.0640175481648741,0.0360064268940798,0.7832895388648626
22,"{'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",0.7888171434620775,0.7888171434620775,0.0785089879896587,0.060901001112347,0.7829807720201382
23,"{'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.7868804333900995,0.7868804333900995,0.0656766138474093,0.036896304535904,0.7796991869742234
24,"{'n_neighbors': 8, 'p': 1, 'weights': 'distance'}",0.7922607879926515,0.7922607879926515,0.0764935205477146,0.0591229761463354,0.7862398531829126
25,"{'n_neighbors': 8, 'p': 1, 'weights': 'uniform'}",0.7915535617991414,0.7915535617991414,0.0686512957110173,0.0388960573476702,0.783147179400841
26,"{'n_neighbors': 8, 'p': 2, 'weights': 'distance'}",0.7894074023416506,0.7894074023416506,0.0772510646399498,0.0593451983685576,0.7832053537996286
27,"{'n_neighbors': 8, 'p': 2, 'weights': 'uniform'}",0.7883792062862158,0.7883792062862158,0.0670802687796199,0.0377849462365591,0.7797672494024424
28,"{'n_neighbors': 9, 'p': 1, 'weights': 'distance'}",0.7928075277384072,0.7928075277384072,0.0755475338127412,0.0580121122234581,0.7868159715583082
29,"{'n_neighbors': 9, 'p': 1, 'weights': 'uniform'}",0.7905199251213295,0.7905199251213295,0.0619793041716305,0.0344513657149919,0.7832609020562401
30,"{'n_neighbors': 9, 'p': 2, 'weights': 'distance'}",0.7897283750891797,0.7897283750891797,0.0767755148215045,0.0586785317018909,0.7835698176161834
31,"{'n_neighbors': 9, 'p': 2, 'weights': 'uniform'}",0.7870762802208063,0.7870762802208063,0.0583749068400879,0.0324501297738227,0.7793585174680459
32,"{'n_neighbors': 10, 'p': 1, 'weights': 'distance'}",0.7930632148671588,0.7930632148671588,0.075305204673909,0.0575676677790137,0.7868878665956999
33,"{'n_neighbors': 10, 'p': 1, 'weights': 'uniform'}",0.7916759671458105,0.7916759671458105,0.0531344216706157,0.028894821406501,0.783461069174801
34,"{'n_neighbors': 10, 'p': 2, 'weights': 'distance'}",0.7899459823006836,0.7899459823006836,0.0748467185992109,0.056901001112347,0.7835735542626227
35,"{'n_neighbors': 10, 'p': 2, 'weights': 'uniform'}",0.7881153572250357,0.7881153572250357,0.0507850230304326,0.0275614880731677,0.7795761731305839
36,"{'n_neighbors': 11, 'p': 1, 'weights': 'distance'}",0.7932753823811589,0.7932753823811589,0.0743979952467843,0.0566785317018909,0.7870750867633178
37,"{'n_neighbors': 11, 'p': 1, 'weights': 'uniform'}",0.7909741822035911,0.7909741822035911,0.0535394476765723,0.0291167964404894,0.7836218802439273
38,"{'n_neighbors': 11, 'p': 2, 'weights': 'distance'}",0.7901445496645486,0.7901445496645486,0.0730288093853041,0.0553451983685576,0.7837533956899956
39,"{'n_neighbors': 11, 'p': 2, 'weights': 'uniform'}",0.7866410670926209,0.7866410670926209,0.0434536246991302,0.0235607465084662,0.7784268894035884
40,"{'n_neighbors': 12, 'p': 1, 'weights': 'distance'}",0.7935147495665156,0.7935147495665156,0.0732814563721409,0.0555669262143121,0.7872072661738577
41,"{'n_neighbors': 12, 'p': 1, 'weights': 'uniform'}",0.7912353105466384,0.7912353105466384,0.0512535561089764,0.0277822271659869,0.782989004177449
42,"{'n_neighbors': 12, 'p': 2, 'weights': 'distance'}",0.7903485563189732,0.7903485563189732,0.0732612129848685,0.0553454455567915,0.7838389356540079
43,"{'n_neighbors': 12, 'p': 2, 'weights': 'uniform'}",0.7869266750917958,0.7869266750917958,0.0415266806135206,0.0224498825855889,0.7777514229196429
44,"{'n_neighbors': 13, 'p': 1, 'weights': 'distance'}",0.7936262740383802,0.7936262740383802,0.072356008836666,0.0546780373254233,0.7872676175005267
45,"{'n_neighbors': 13, 'p': 1, 'weights': 'uniform'}",0.790506325156169,0.790506325156169,0.0448889852120138,0.0240044493882091,0.7830384397830739
46,"{'n_neighbors': 13, 'p': 2, 'weights': 'distance'}",0.7902016696514046,0.7902016696514046,0.0716396340121469,0.0540113706587566,0.7836576692732887
47,"{'n_neighbors': 13, 'p': 2, 'weights': 'uniform'}",0.7860861664502946,0.7860861664502946,0.0355792354557054,0.0188935854653318,0.777860458443171
48,"{'n_neighbors': 14, 'p': 1, 'weights': 'distance'}",0.793838440664502,0.793838440664502,0.0719708119188167,0.054233345692745,0.7873952934912047
49,"{'n_neighbors': 14, 'p': 1, 'weights': 'uniform'}",0.7910285824341826,0.7910285824341826,0.0448626334077957,0.0240044493882091,0.7828644305945256
50,"{'n_neighbors': 14, 'p': 2, 'weights': 'distance'}",0.7901499877712704,0.7901499877712704,0.0714146434349045,0.0537898900012359,0.7835468780229531
51,"{'n_neighbors': 14, 'p': 2, 'weights': 'uniform'}",0.7864833015109791,0.7864833015109791,0.037137709354866,0.0197827215424545,0.777458101312843
